"","eigens","pEigens"
"macv_p_ss_fs",1.07415293327805,0.0018
"macv_p_ss_fo",0.859468505128209,0.0026
"macv_p_ss_fr",0.69110860887277,0.0525
"macv_y_ss_fs",0.614799758837125,0.0509
"macv_y_ss_fo",0.513068007336117,0.2938
"macv_y_ss_fr",0.488079740340108,0.0808
"reshist_addr1_coi_r_coi_nat",0.446107107404223,0.054
"meim_p_ss_exp",0.398611708254537,0.0777
"meim_p_ss_com",0.334369442668454,0.3856
"reshist_addr1_nanda_disadv_fac",0.318179102581043,0.1289
"meim_ss_exp",0.269020230121954,0.414
"meim_ss_com",0.245179613860344,0.3242
"reshist_addr1_gstat_h_queen",0.206369530703971,0.6404
"dim_y_ss_mean",0.199053421319118,0.2298
"via_p_ss_hc",0.18408836689823,0.09
"via_p_ss_amer",0.144060321880494,0.5171
"via_ss_hc",0.130169896453756,0.3322
"via_ss_amer",0.102664254918214,0.6126
"comc_ss_cohesion_p",0.0886923067672943,0.447
"comc_ss_control_p",0.0626244693952335,0.6745
